Table,Unit,Variety,Year,Attribute,Value
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,ND,43
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,OH,43
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,SD,62
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,TX,44
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2012,WI,53
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,IL,78
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,IN,73
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,IA,72
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,KS,69
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,MI,71
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,MN,78
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,MO,71
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,NE,74
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,ND,69
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,OH,63
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,SD,82
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,TX,53
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2013,WI,63
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,IL,83
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,IN,78
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,IA,83
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,KS,72
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,MI,76
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,MN,81
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,MO,79
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,NE,77
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,ND,68
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,OH,69
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,SD,80
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,TX,62
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2014,WI,72
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,IL,88
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,IN,76
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,IA,80
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,KS,79
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,MI,74
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,MN,78
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,MO,75
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,NE,82
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,ND,70
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,OH,68
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,SD,83
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,TX,67
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2015,WI,70
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,IL,87
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,IN,75
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,IA,80
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,KS,79
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,MI,70
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,MN,80
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,MO,81
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,NE,77
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,ND,66
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,OH,66
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,SD,78
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,TX,71
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2016,WI,70
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,IL,85
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,IN,75
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,IA,80
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,KS,77
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,MI,71
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,MN,82
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,MO,81
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,NE,81
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,ND,67
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,OH,66
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,SD,77
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,TX,77
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2017,WI,71
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,IL,89
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,IN,77
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,IA,83
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,KS,84
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,MI,72
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,MN,83
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,MO,83
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,NE,84
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,ND,69
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,OH,70
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,SD,79
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,TX,75
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2018,WI,72
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,IL,88
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,IN,76
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,IA,81
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,KS,82
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,MI,75
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,MN,80
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,MO,82
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,NE,85
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,ND,78
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,OH,76
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,SD,79
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,TX,80
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2019,WI,72
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,IL,88
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,IN,74
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,IA,79
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,KS,81
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,MI,74
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,MN,79
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,MO,83
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,NE,82
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,ND,75
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,OH,71
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,SD,80
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,TX,76
Genetically engineered (GE) corn varieties,Percent of corn planted,Stacked gene varieties,2020,WI,76
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,IL,17
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,IN,11
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,IA,30
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,KS,33
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,MI,12
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,MN,37
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,MO,28
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,NE,34
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,OH,9
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,SD,48
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2000,WI,18
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,IL,16
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,IN,12
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,IA,32
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,KS,38
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,MI,17
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,MN,36
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,MO,32
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,NE,34
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,OH,11
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,SD,47
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2001,WI,18
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,IL,22
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,IN,13
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,IA,41
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,KS,43
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,MI,22
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,MN,44
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,MO,34
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,NE,46
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,OH,9
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,SD,66
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2002,WI,26
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,IL,28
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,IN,16
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,IA,45
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,KS,47
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,MI,35
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,MN,53
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,MO,42
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,NE,52
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,OH,9
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,SD,75
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2003,WI,32
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,IL,33
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,IN,21
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,IA,54
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,KS,54
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,MI,33
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,MN,63
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,MO,49
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,NE,60
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,ND,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,OH,13
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,SD,79
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,TX,
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2004,WI,38
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,IL,36
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,IN,26
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,IA,60
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,KS,63
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,MI,40
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,MN,66
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,MO,55
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,NE,69
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,ND,75
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,OH,18
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,SD,83
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,TX,72
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2005,WI,46
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,IL,55
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,IN,40
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,IA,64
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,KS,68
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,MI,44
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,MN,73
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,MO,59
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,NE,76
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,ND,83
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,OH,26
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,SD,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,TX,77
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2006,WI,50
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,IL,74
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,IN,59
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,IA,78
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,KS,82
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,MI,60
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,MN,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,MO,62
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,NE,79
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,ND,88
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,OH,41
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,SD,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,TX,79
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2007,WI,64
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,IL,80
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,IN,78
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,IA,84
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,KS,90
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,MI,72
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,MN,88
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,MO,70
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,NE,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,ND,89
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,OH,66
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,SD,95
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,TX,78
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2008,WI,75
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,IL,84
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,IN,79
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,IA,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,KS,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,MI,75
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,MN,88
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,MO,77
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,NE,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,ND,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,OH,67
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,SD,96
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,TX,84
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2009,WI,77
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,IL,82
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,IN,83
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,IA,90
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,KS,90
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,MI,80
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,MN,92
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,MO,79
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,NE,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,ND,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,OH,71
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,SD,95
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,TX,85
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2010,WI,80
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,IL,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,IN,85
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,IA,90
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,KS,92
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,MI,87
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,MN,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,MO,85
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,NE,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,ND,97
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,OH,74
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,SD,96
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,TX,88
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2011,WI,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,IL,85
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,IN,84
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,IA,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,KS,90
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,MI,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,MN,88
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,MO,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,NE,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,ND,96
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,OH,76
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,SD,94
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,TX,85
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2012,WI,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,IL,89
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,IN,85
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,IA,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,KS,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,MI,90
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,MN,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,MO,92
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,NE,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,ND,94
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,OH,85
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,SD,96
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,TX,89
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2013,WI,84
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,IL,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,IN,88
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,IA,95
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,KS,95
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,MI,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,MN,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,MO,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,NE,96
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,ND,96
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,OH,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,SD,97
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,TX,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2014,WI,92
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,IL,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,IN,88
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,IA,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,KS,95
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,MI,92
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,MN,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,MO,89
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,NE,96
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,ND,97
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,OH,85
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,SD,97
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,TX,89
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2015,WI,92
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,IL,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,IN,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,IA,92
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,KS,95
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,MI,91
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,MN,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,MO,93
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,NE,95
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,ND,95
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,OH,86
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,SD,98
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,TX,90
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2016,WI,90
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2017,IL,92
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2017,IN,87
Genetically engineered (GE) corn varieties,Percent of corn planted,All GE varieties,2017,IA,93
